Resource Type,Classification,Should Inventory,Use for Enrichment,Has ARN,Can Get from Root,Requires Dependent,Root Operations,Dependent Operations
"local_gateway_route_table_virtual_interface_group_association_local_gateway","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeLocalGatewayRouteTableVirtualInterfaceGroupAssociations; DescribeLocalGatewayRouteTableVpcAssociations; DescribeLocalGatewayRouteTables; DescribeLocalGatewayVirtualInterfaceGroups; DescribeLocalGatewayVirtualInterfaces; DescribeLocalGateways","None"
"local_gateway_route_table_virtual_interface_group_association_local_gateway_route_table_virtual_interface_group_association","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeLocalGatewayRouteTableVirtualInterfaceGroupAssociations","None"
"local_gateway_route_table_vpc_association_local_gateway_route_table","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeLocalGatewayRouteTableVpcAssociations","None"
"local_gateway_route_table_vpc_association_local_gateway_route_table_vpc_association","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeLocalGatewayRouteTableVpcAssociations","None"
"local_gateway_virtual_interfac_local_gateway_virtual_interface","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeLocalGatewayVirtualInterfaces; DescribeLocalGatewayVirtualInterfaces","None"
"local_gateway_virtual_interfac_outpost_lag","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeLocalGatewayVirtualInterfaces; DescribeOutpostLags; DescribeServiceLinkVirtualInterfaces","None"
"local_gateway_virtual_interface_group","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeLocalGatewayVirtualInterfaceGroups","None"
"local_gateway_virtual_interface_group_local_gateway_virtual_interface_group","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeLocalGatewayVirtualInterfaceGroups","None"
"mac_host_host","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeMacHosts","None"
"mac_modification_task","EPHEMERAL","No","No","No","Yes","No","DescribeMacModificationTasks","None"
"mac_modification_task_mac_modification_task","EPHEMERAL","No","No","No","Yes","No","DescribeMacModificationTasks","None"
"metric_dimension_result_reservation","PRIMARY_RESOURCE","Yes","No","Yes","No","Yes","None","GetCapacityManagerMetricDimensions"
"nat_gateway_nat_gateway","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeNatGateways","None"
"nat_gateway_route_table","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeNatGateways; DescribeRouteTables","GetRouteServerPropagations"
"network_acl_network_acl","CONFIGURATION","No","Yes","No","Yes","No","DescribeNetworkAcls","None"
"network_insights_access_scop_network_insights_access_scope","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeNetworkInsightsAccessScopes","None"
"network_insights_access_scope_analys_network_insights_access_scope","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeNetworkInsightsAccessScopeAnalyses; DescribeNetworkInsightsAccessScopes","GetNetworkInsightsAccessScopeAnalysisFindings; GetNetworkInsightsAccessScopeContent"
"network_insights_access_scope_analys_network_insights_access_scope_analysis","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeNetworkInsightsAccessScopeAnalyses; DescribeNetworkInsightsAccessScopeAnalyses","GetNetworkInsightsAccessScopeAnalysisFindings"
"network_insights_analys_filter_ins","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeNetworkInsightsAnalyses","None"
"network_insights_analys_filter_outs","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeNetworkInsightsAnalyses","None"
"network_insights_analys_network_insights_analysis","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeNetworkInsightsAnalyses; DescribeNetworkInsightsAnalyses","None"
"network_insights_analys_network_insights_path","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeNetworkInsightsAnalyses; DescribeNetworkInsightsPaths","None"
"network_insights_path","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeNetworkInsightsPaths","None"
"network_insights_path_destination","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeNetworkInsightsPaths","None"
"network_insights_path_network_insights_path","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeNetworkInsightsPaths","None"
"network_insights_path_source","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeNetworkInsightsPaths","None"
"network_interfac_private_dns","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeNetworkInterfaces; DescribeVpcEndpointServiceConfigurations","None"
"network_interfac_public_dns","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeNetworkInterfaces","None"
"network_interface_permission_aws_account","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeNetworkInterfacePermissions; DescribeVpcBlockPublicAccessOptions","GetCoipPoolUsage"
"network_interface_permission_network_interface_permission","CONFIGURATION","No","Yes","No","Yes","No","DescribeNetworkInterfacePermissions","None"
"offering_set_offering","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeHostReservationOfferings; DescribeHostReservations","None"
"organization_target_organization_target","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetIpamPolicyOrganizationTargets"
"outpost_lag","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeOutpostLags","None"
"placement_group_group","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribePlacementGroups; DescribePlacementGroups; DescribeSecurityGroupRules; DescribeSecurityGroupVpcAssociations; DescribeSecurityGroups","DescribeClientVpnAuthorizationRules; DescribeInstanceAttribute; DescribeNetworkInterfaceAttribute; DescribeSecurityGroupReferences; DescribeStaleSecurityGroups; GetGroupsForCapacityReservation; GetSecurityGroupsForVpc"
"prefix_list_prefix_list","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeManagedPrefixLists; DescribeManagedPrefixLists; DescribePrefixLists","None"
"principal","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribePrincipalIdFormat","DescribeImageReferences"
"product_cod_product_code","SUB_RESOURCE","No","Yes","No","No","Yes","None","DescribeSnapshotAttribute; DescribeVolumeAttribute"
"replace_root_volume_task_replace_root_volume_task","EPHEMERAL","No","No","No","Yes","No","DescribeReplaceRootVolumeTasks","None"
"report_report","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeDeclarativePoliciesReports; DescribeImageUsageReportEntries; DescribeImageUsageReports","GetDeclarativePoliciesReportSummary"
"report_target","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeDeclarativePoliciesReports","GetDeclarativePoliciesReportSummary"
"reservation_requester","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeInstances; DescribeNetworkInterfaces","None"
"reservation_reservation","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeInstances","GetCapacityManagerMetricDimensions"
"reserved_instanc_reserved_instances","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeReservedInstances; DescribeReservedInstancesListings","None"
"reserved_instance_value_set_reserved_instance","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetReservedInstancesExchangeQuote"
"reserved_instances_listing_reserved_instances_listing","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeReservedInstancesListings","None"
"reserved_instances_modification_reserved_instances_modification","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeReservedInstancesModifications","None"
"reserved_instances_offering_reserved_instances_offering","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeReservedInstancesOfferings","None"
"route_server_endpoint_eni","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeRouteServerEndpoints","None"
"route_server_endpoint_route_server","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeRouteServerEndpoints; DescribeRouteServerPeers; DescribeRouteServers","GetRouteServerAssociations; GetRouteServerPropagations"
"route_server_endpoint_route_server_endpoint","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeRouteServerEndpoints; DescribeRouteServerPeers","GetRouteServerRoutingDatabase"
"route_server_peer_endpoint_eni","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeRouteServerPeers","None"
"route_server_peer_route_server_peer","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeRouteServerPeers","GetRouteServerRoutingDatabase"
"route_server_sns_topic","CONFIGURATION","No","Yes","Yes","Yes","No","DescribeRouteServers","None"
"scheduled_instance_set_scheduled_instance","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeScheduledInstances","None"
"security_group_for_vpc_primary_vpc","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetSecurityGroupsForVpc"
"security_group_reference_set_referencing_vpc","SUB_RESOURCE","No","Yes","No","No","Yes","None","DescribeSecurityGroupReferences"
"security_group_rul_group_owner","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeSecurityGroupRules; DescribeSecurityGroupVpcAssociations","None"
"security_group_rul_security_group_rule","CONFIGURATION","No","Yes","Yes","Yes","No","DescribeSecurityGroupRules; DescribeSecurityGroupRules","None"
"security_group_security_group","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeSecurityGroups","None"
"security_group_vpc_association_vpc_owner","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeSecurityGroupVpcAssociations; DescribeTransitGatewayVpcAttachments","None"
"service_configuration_service","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpcEndpointServiceConfigurations; DescribeVpcEndpoints","None"
"service_link_virtual_interfac_outpost","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeServiceLinkVirtualInterfaces","None"
"service_link_virtual_interfac_service_link_virtual_interface","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeServiceLinkVirtualInterfaces; DescribeServiceLinkVirtualInterfaces","None"
"snapshot_data_encryption_key","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeSnapshots","None"
"snapshot_tier_status_volume","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeSnapshotTierStatus; DescribeSnapshots; DescribeVolumeStatus; DescribeVolumes; DescribeVolumesModifications; ListSnapshotsInRecycleBin; ListVolumesInRecycleBin","DescribeVolumeAttribute"
"spot_fleet_request_config_spot_fleet_request","EPHEMERAL","No","No","No","Yes","No","DescribeSpotFleetRequests","DescribeSpotFleetInstances; DescribeSpotFleetRequestHistory"
"spot_instance_request_launched_availability_zone","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeSpotInstanceRequests","None"
"spot_instance_request_spot_instance_request","EPHEMERAL","No","No","No","Yes","No","DescribeSpotInstanceRequests","DescribeFleetInstances; DescribeSpotFleetInstances"
"store_image_task_result_ami","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeStoreImageTasks","None"
"subnet_ipv4_cidr_reservation_subnet_cidr_reservation","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetSubnetCidrReservations"
"subnet_subnet","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeSubnets","None"
"traffic_mirror_filter","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTrafficMirrorFilterRules","None"
"traffic_mirror_filter_rul_traffic_mirror_filter","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTrafficMirrorFilterRules; DescribeTrafficMirrorFilters; DescribeTrafficMirrorSessions","None"
"traffic_mirror_filter_rul_traffic_mirror_filter_rule","CONFIGURATION","No","Yes","No","Yes","No","DescribeTrafficMirrorFilterRules","None"
"traffic_mirror_session_traffic_mirror_session","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTrafficMirrorSessions","None"
"traffic_mirror_session_traffic_mirror_target","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTrafficMirrorSessions; DescribeTrafficMirrorTargets","None"
"traffic_mirror_session_virtual_network","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTrafficMirrorSessions","None"
"traffic_mirror_target_gateway_load_balancer_endpoint","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTrafficMirrorTargets","None"
"traffic_mirror_target_network_load_balancer","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeTrafficMirrorTargets","None"
"transit_gateway","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeTransitGateways","None"
"transit_gateway_attachment_transit_gateway","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTransitGatewayAttachments; DescribeTransitGatewayConnects; DescribeTransitGatewayMeteringPolicies; DescribeTransitGatewayMulticastDomains; DescribeTransitGatewayPolicyTables; DescribeTransitGatewayRouteTableAnnouncements; DescribeTransitGatewayRouteTables; DescribeTransitGatewayVpcAttachments; DescribeTransitGateways; DescribeVpnConcentrators; DescribeVpnConnections","DescribeSecurityGroupReferences; GetVpnTunnelReplacementStatus"
"transit_gateway_attachment_transit_gateway_owner","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTransitGatewayAttachments","None"
"transit_gateway_connect_peer_transit_gateway_connect_peer","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTransitGatewayConnectPeers","None"
"transit_gateway_connect_transport_transit_gateway_attachment","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTransitGatewayConnects","None"
"transit_gateway_metering_policy_transit_gateway_metering_policy","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTransitGatewayMeteringPolicies","None"
"transit_gateway_multicast_domain","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeTransitGatewayMulticastDomains","None"
"transit_gateway_multicast_domain_transit_gateway_multicast_domain","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeTransitGatewayMulticastDomains; DescribeTransitGatewayMulticastDomains","None"
"transit_gateway_peering_attachment_accepter_transit_gateway_attachment","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTransitGatewayPeeringAttachments","None"
"transit_gateway_policy_tabl_transit_gateway_policy_table","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTransitGatewayPolicyTables","GetTransitGatewayPolicyTableAssociations"
"transit_gateway_policy_table_entry_target_route_table","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetTransitGatewayPolicyTableEntries"
"transit_gateway_prefix_list_referenc_prefix_list_owner","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetTransitGatewayPrefixListReferences"
"transit_gateway_route_table_announcement_core_network","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTransitGatewayRouteTableAnnouncements","None"
"transit_gateway_route_table_announcement_peer_core_network","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTransitGatewayRouteTableAnnouncements","None"
"transit_gateway_route_table_announcement_peer_transit_gateway","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTransitGatewayRouteTableAnnouncements","None"
"transit_gateway_route_table_announcement_peering_attachment","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTransitGatewayRouteTableAnnouncements","None"
"transit_gateway_route_table_announcement_transit_gateway_route_table","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeTransitGatewayRouteTableAnnouncements; DescribeTransitGatewayRouteTables","GetTransitGatewayAttachmentPropagations; GetTransitGatewayPrefixListReferences"
"transit_gateway_transit_gateway","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeTransitGateways","None"
"verified_access_endpoint_domain_certificate","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeVerifiedAccessEndpoints","None"
"verified_access_endpoint_verified_access_endpoint","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVerifiedAccessEndpoints","GetVerifiedAccessEndpointTargets"
"verified_access_endpoint_verified_access_group","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVerifiedAccessEndpoints; DescribeVerifiedAccessGroups","None"
"verified_access_endpoint_verified_access_instance","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVerifiedAccessEndpoints; DescribeVerifiedAccessGroups; DescribeVerifiedAccessInstanceLoggingConfigurations; DescribeVerifiedAccessInstances","None"
"verified_access_group","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeVerifiedAccessGroups","None"
"verified_access_group_verified_access_group","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeVerifiedAccessGroups","None"
"verified_access_trust_provider_policy_reference","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVerifiedAccessTrustProviders","None"
"verified_access_trust_provider_verified_access_trust_provider","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVerifiedAccessTrustProviders","None"
"volum_source_volume","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVolumes; ListVolumesInRecycleBin","None"
"vpc_block_public_access_exclusion_exclusion","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpcBlockPublicAccessExclusions","None"
"vpc_block_public_access_exclusion_resource","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeVpcBlockPublicAccessExclusions","None"
"vpc_block_public_access_option_aws_account","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpcBlockPublicAccessOptions","None"
"vpc_encryption_control","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpcEncryptionControls","None"
"vpc_encryption_control_vpc_encryption_control","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpcEncryptionControls","None"
"vpc_endpoint_association","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpcEndpointAssociations; GetAwsNetworkPerformanceData","GetVpcResourcesBlockingEncryptionEnforcement"
"vpc_endpoint_association_associated_resource","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeVpcEndpointAssociations","None"
"vpc_endpoint_association_configuration_group","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeVpcEndpointAssociations","None"
"vpc_endpoint_association_service_network","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeVpcEndpointAssociations; DescribeVpcEndpointAssociations; DescribeVpcEndpoints","None"
"vpc_endpoint_association_vpc_endpoint","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpcEndpointAssociations; DescribeVpcEndpointConnectionNotifications; DescribeVpcEndpointConnections; DescribeVpcEndpoints","None"
"vpc_endpoint_configuration","CONFIGURATION","No","Yes","Yes","Yes","No","DescribeVpcEndpoints","None"
"vpc_endpoint_connection_gateway_load_balancers","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeVpcEndpointConnections; DescribeVpcEndpointServiceConfigurations","None"
"vpc_endpoint_connection_network_load_balancers","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeVpcEndpointConnections; DescribeVpcEndpointServiceConfigurations","None"
"vpc_endpoint_connection_vpc_endpoint_connection","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpcEndpointConnections","None"
"vpc_peering_connection_vpc_peering_connection","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpcPeeringConnections","DescribeSecurityGroupReferences"
"vpn_concentrator","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpnConcentrators","None"
"vpn_concentrator_vpn_concentrator","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpnConcentrators; DescribeVpnConnections","None"
"vpn_connection_core_network","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeVpnConnections","None"
"vpn_connection_core_network_attachment","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeVpnConnections","None"
"vpn_connection_device_typ_vpn_connection_device_type","SUB_RESOURCE","No","Yes","No","Yes","No","GetVpnConnectionDeviceTypes","None"
"vpn_connection_pre_shared_key","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeVpnConnections","None"
"vpn_connection_vpn_connection","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpnConnections","GetVpnTunnelReplacementStatus"
"vpn_connection_vpn_gateway","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpnConnections; DescribeVpnGateways","GetVpnTunnelReplacementStatus"